Date,Education,Experience,Sector,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
9/24/2016 9:07,Master's,44,Private/CRM,No,,,No,Yes,Data should be posted by the agency that required & reviewed the work,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,Data restrictions = archaeologists with permits and agency archaeologists
9/24/2016 9:32,Master's,10,Government,No,,No opinion,Yes,Yes,Research institutions and users,"Artifact Analysis, Architectural Details",,"Site Location, Burial Data",,Yes but I think trying to create a data sharing platform and data standards all in one go will be difficult. Can data standards be phased in at a later point?,
9/24/2016 18:22,Master's,10,Private/CRM,No,No,No opinion,No,Yes,The Federal government,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 6:39,PhD,11,Government,No,,,Yes,Yes,Private for-profit entities,"Artifact Analysis, Architectural Details, General Syntheses","Site Location, Burial Data","Site Location, Burial Data",,No,"While laudable, I worry that a strong web presence will ultimately provide too much information that could be used in vandalism and looting of archaeological sites. For instance, a large ARPA raid in Southern Utah found that the looters were using publicly available University of Utah monographs to find and loot sites. Making more of this information (specifically site location) available will have real effects. However, there is a lot of room to discuss artifact analyses, summary & conclusions, syntheses, etc., that would be of interest to the public but not expose sites to further risk. 

In the case of data standards, I always chafe at those requirements as they are oftentimes written by eastern states and bureaucracies that do not manage lands or cultural resources, and don't understand the nature of the American West or the extreme variety that does exist out there. I would worry to, as is often the case with national initiatives, that the individuality of the state in question is overlooked for the benefit of a standardized system. In archaeology it seems ""one size"" does not fit all. Further, if there is adoption of the data standards there would be a ripple effect to the land managing agencies, SHPOs, THPOs, and consultants that would cost significant money to standardize. This comes in the face of growing demands and shrinking budgets. If there is a future data standard, it would need to be affordable, not require alterations of existing centralized data centers, and recognize the variability of the archaeology in each state and/or region.  "
9/26/2016 8:06,PhD,10,Academic/Research Institution,No,,Reasonable,Yes,Yes,Depends on the nature of the archaeological work.,"Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 8:34,Master's,30,Private/CRM,No,,,Yes,Yes,Users,"Site Location, Burial Data","Artifact Analysis, Architectural Details, General data such as subsistence",,,Yes,
9/26/2016 8:54,Master's,18,Government,No,No,No opinion,,Yes,Users,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,
9/26/2016 8:56,PhD,45,retired,No,,Too high,No,Yes,The Federal government,,"Site Location, Burial Data, Artifact Analysis, Architectural Details",,,No,
9/26/2016 9:12,Bachelor's,30 years,Government,Yes,No,No opinion,No,Yes,Researchers (pay to host own data),"Site Location, Artifact Analysis, Architectural Details, sruvey location and date completed",,Burial Data,,Yes,
9/26/2016 10:13,Master's,45,Private/CRM,Yes,No,Too high,No,Yes,State or local governments,"Site Location, Burial Data, Artifact Analysis, Architectural Details",Architectural Details,,,Yes,
9/26/2016 10:15,PhD,8,Government,No,,No opinion,No,Yes,State or local governments,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Site location information should not be given to non-professional archaeologists.,,Yes,
9/26/2016 10:17,Master's,20,Government,No,No,No opinion,No,Yes,All of the above,Hard to say. Depends on the access restrictions.,"Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 10:19,Master's,,Government,Yes,Yes,No opinion,Yes,Yes,Researchers (pay to host own data),Burial Data,"Artifact Analysis, Architectural Details",Site Location,,Yes,
9/26/2016 10:20,PhD,25,Academic/Research Institution,Yes,Yes,Reasonable,Yes,Yes,Researchers (pay to host own data),"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 10:23,PhD,40, THPO,No,,,,Yes,The Federal government,"Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 10:24,Master's,27,Private/CRM,Yes,No,Reasonable,No,Yes,State or local governments,"Site Location, Burial Data","Artifact Analysis, Architectural Details","Site Location, Burial Data",,No,
9/26/2016 10:24,PhD,33,Private/CRM,No,No,No opinion,,No,Researchers (pay to host own data),,Architectural Details,"Site Location, Burial Data",,Yes,
9/26/2016 10:29,PhD,35,Academic/Research Institution,Yes,Yes,Reasonable,Yes,Yes,"all the above, except Users, and ""should not be shared""","Site Location, Burial Data, Artifact Analysis, Architectural Details, any supplemental data from articles, reports, etc.","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 10:36,Master's,14,Government,Yes,No,Too high,No,Yes,The Federal government,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Burial Data, Artifact Analysis, Architectural Details",Site Location,,Yes,
9/26/2016 10:38,PhD,10,Academic/Research Institution,No,No,No opinion,Yes,Yes,"This depends. If the research is funded by the federal government, than it should be written into that funding source. If a private company through CRM work, than that entity should fund it. This isn't an either or situation.","Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 10:39,Master's,6 years,Government,No,,Too high,Yes,Yes,Users should have a subscription fee option in tDAR etc. ,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 10:45,Master's,5,Government,Yes,No,No opinion,No,Yes,The Federal government,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,"I think that federal, state, and tribal agencies will be required to maintain data in differing ways depending on relationships with tribes, associated groups, etc. I do feel that inadequate funding for state run repositories has led to inconsistent practices and conflicting data management strategies. Archaeological research (journal articles etc) should be freely shared to interested (academic and a vocational) or occasionally to a restricted public (i.e. Registered archaeologists). Pay-for-access does not work for certain agencies, such as small government offices with limited operating budgets. "
9/26/2016 10:43,Master's,32,Academic/Research Institution,Yes,No,Reasonable,Yes,Yes,mix of funding sources for this,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",none,,"yes, but this would be very difficult",
9/26/2016 10:47,PhD,40,Private/CRM,No,,,,Yes,Non-profit entitites,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 10:52,Bachelor's,29,Private/CRM,Yes,Yes,Reasonable,Yes,Yes,State or local governments,"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 10:59,Master's,20,Private/CRM,Yes,Yes,No opinion,Yes,Yes,Users,"Site Location, Burial Data, Artifact Analysis, Architectural Details",,,,Yes,
9/26/2016 11:01,Master's,15,Government,No,No,No opinion,Yes,Yes,The Federal government,Site Location,"Artifact Analysis, Architectural Details",Burial Data,,I am not sure how this would be possible,"I think that digital sharing is the direction that we should be going in. However, it will require a lot of infrastructure support and I do not know where the funding would come for that."
9/26/2016 11:29,PhD,30,Academic/CRM,Yes,No,No opinion,Yes,No,Researchers (pay to host own data),Artifact Analysis,,"Site Location, Burial Data",,Yes,
9/26/2016 11:44,PhD,18,Academic/Research Institution,No,No,No opinion,No,Yes,Researchers (pay to host own data),"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 11:50,Master's,41,Government,No,No,Too high,No,Yes,Users,"Site Location, Artifact Analysis, Architectural Details, chronometric data","Artifact Analysis, Architectural Details",,,Yes,site location data is a hot topic within the profession. Sometimes there is much more restraint in location protection than is justified that hinders management and research progress with ARPA.
9/26/2016 13:12,Master's,18,Private/CRM,No,No,Too high,Yes,Yes,Project proponents,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 13:13,Bachelor's,27,Government,Yes,No,Too high,No,Yes,The Federal government,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,tDAR'  business model replicates the problems associated with JSTOR - charging the researcher for upload and access and over charging institutions and university libraries for access - this is  restrictive practice is anti-science. Information should not be restricted (unless at risk to resource or for cultural reasons) in order for other researchers to ex-amen and  replicate previous research.
9/26/2016 13:16,PhD,40 years,museum director,Yes,No,No opinion,No,Yes,Non-profit entitites,"Site Location, Burial Data","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,
9/26/2016 13:17,Master's,10,Government,Yes,No,No opinion,Yes,No,Users,"Site Location, Artifact Analysis, Architectural Details, Site type, eligibility","Architectural Details, Sites intended for public visitation.",Burial Data,,Yes,"It's kind of ridiculous that in this day and age, we're still struggling with online archaeological databases.  If we want to be taken seriously as a discipline, we need to have up to date, digital information available to manage our cultural resources. "
9/26/2016 14:08,PhD,30,Academic/Research Institution,No,,Reasonable,Yes,Yes,Private for-profit entities,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,
9/26/2016 14:52,PhD,40,Academic/Research Institution,No,No,No opinion,Yes,Yes,Users,Site Location,"Artifact Analysis, Architectural Details",Burial Data,,Yes,
9/26/2016 15:50,PhD,14,Academic/Research Institution,Yes,Yes,Reasonable,Yes,Yes,Whoever funds theproject . ,"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
9/26/2016 16:47,PhD,25,Private/CRM,Yes,No,No opinion,No,Yes,The Federal government,Site Location,Site Location,none,,No,
9/26/2016 17:55,Master's,37,Government,Yes,Yes,Reasonable,Yes,Yes,"combination of fed, state, and user","Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,
9/27/2016 6:43,Master's,10,Government,No,No,No opinion,Yes,Yes,Users,Land ownership,"Artifact Analysis, Architectural Details, Faunal analysis, interpretation, conclusions, ideas for future investigations ","Site Location, Burial Data",,Yes,"My current job does not offer much opportunity for use of online archaeological databases, but I think data must come of age by becoming digital, or the profession will more quickly become stagnant and less attractive to students."
9/27/2016 6:52,PhD,20,Government,No,No,No opinion,Yes,Yes,Researchers (pay to host own data),"Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,"Depends. Research varies, therefore collection methods vary",
9/27/2016 15:35,ABD,15,Academic/Research Institution,Yes,Yes,Reasonable,Yes,Yes,"It depends--federal projects should be supported by federal agencies, state or local projects should be supported by state and local government agencies.  Whatever source of funding supports or compelled the research should support the long term curation of digital archaeological data.  There should be no financial barriers to access data (user-supported models)","Site Location, Burial Data","Artifact Analysis, Architectural Details","Sensitive information can and should be preserved in online repositories for digital data that include metadata that generally describe the information.  The metadata should be searchable and easily discoverable, but the sensitive content (e.g. digital files with site location information) should be protected from public access.  Both Open Context and tDAR support this type of access and discovery.  ",,No,"The current state of archaeological data curation makes synthetic research or even thorough background research unnecessarily challenging.  While land managers have a responsibility to protect archaeological site location information and some other types of sensitive information, they should not prevent easy discovery of the existence of archaeological research data --in fact they should strive to facilitate it.  Archaeologists working during the early period of compliance archaeology in the United States, during which large amounts of data were collected, are beginning to retire and die off.  Their knowledge about where extremely unique paper and digital collections are stored may leave with them.  Those data are irreplaceable and as a discipline it is imperative that we properly care for them so that future research endeavors and land management decisions can be made with the full wealth of available data.    

When services like tDAR and Open Context exist, agencies and academic researchers should endeavor to support their use rather than develop their own internal databases (that are likely to silo data off and prevent it from being discovered and reused) .  tDAR and Open Context aren't just data clearinghouses, but they also focus on preservation, meaning that the data they care for are under their care for posterity.  They work closely with archival communities to ensure that digital data are forward migrated for future use. 

I understand the great responsibility that agencies have to protect the information they manage, and i think the repositories you've mentioned strive to do the same.  It is my understanding that both tDAR and Open Context allow the ""owner"" of the digital content to remain the gatekeeper, so no change from keeping the information on local servers or in paper in the office.  What does change is other researchers' and the interested public's ability to discover that this content exists in the first place.    "
9/28/2016 7:05,PhD,30,all of the above but mostly CRM,Yes,No,No opinion,No,Yes,all of the above except researchers and retired who have no external funding. That is why I do not use TDAR to post my publications and reports.,"All, with access restrictions","Artifact Analysis, Architectural Details, all non sensitive data, results, analyses, and reports",,,"No, because the way one collects data depends on the research questions being asked","I think you are doing this survey to figure out if people need your service and if they are willing to pay for it. I would post my material but when it was free to do so I did not have the time. Now that I could take the time, it is no longer free. I have hundreds of reports and around a hundred publications in journals etc but do not submit because it comes out of my own pocket. I am not sure who should pay but I certainly am not going to. Also your question ""What is your opinion on the price of these services?"" is too vague. Which services? The one you offer or the ones I use? Mine are free, yours is not."
9/29/2016 13:08,PhD,58,Private/CRM,No,,No opinion,No,Yes,State or local governments,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details, Ssite desc., all analysis",,,No,
9/30/2016 19:11,Bachelor's,25,Academic/Research Institution,No,No,No opinion,No,Yes,The Federal government,"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
9/30/2016 22:52,Master's,20,,Yes,No,Too high,No,Yes,Researchers (pay to host own data),Site Location,"Burial Data, Artifact Analysis, Architectural Details",,,Yes,Lots of good research is never shared or published.  Archaeology without publication or reporting is nothing but paid pot hunting
10/1/2016 3:39,Master's,8,Private/CRM,No,,No opinion,Yes,Yes,project proponents,"Site Location, Burial Data, traditional cultural properties/funerary objects, etc.","Artifact Analysis, Architectural Details",,,Yes,
10/2/2016 9:57,PhD,30,Private/CRM,No,No,No opinion,No,Yes,The Federal government,"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
10/3/2016 5:50,Bachelor's,30,Government,Yes,No,Reasonable,No,No,The Federal government,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,"SHPO should be keepers of the data, from all sites regardless of agency land status.  Presently in Utah FS and NPS site info does not make it into SHPO data base in timely manner so researchers can access it. Of course this needs to be protected an only available to professional certified archaeologists. Each state should have a one central location for the data such as site forms and reports.  Right now in Utah you can use Pres Pro for site forms but the accompanying reports are not available on-line."
10/4/2016 8:36,Master's,40,Government,No,,Too high,Yes,Yes,Don't think there's a single answer.  Most states have databases that provide information at some level.,"Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,Yes,Site location and sensitive data (burials) require considerable restrictions if hosted by non-governmental sources. 
10/10/2016 15:27,PhD,35,Tribal ,Yes,No,Reasonable,No,Yes,The Federal government,Site Location,"Burial Data, Artifact Analysis, Architectural Details",,,Yes,
10/11/2016 11:21,PhD,10,Academic/Research Institution,Yes,No,No opinion,Yes,Yes,The Federal government,Site Location,"Artifact Analysis, Architectural Details",,,,
10/11/2016 12:43,PhD,15,Private/CRM,Yes,Yes,Reasonable,Yes,Yes,Researchers (pay to host own data),"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,Yes,"Digital curation needs to be a requirement of project compliance. It must be mandated by agencies, SHPOs, and granting institutions. And compliance must be enforced. Otherwise I don't feel justified in charging my clients for the service."
10/13/2016 10:41,Master's,15,Private/CRM,Yes,Yes,Reasonable,Yes,Yes,Private for-profit entities,"Site Location, Burial Data, Artifact Analysis, Architectural Details, Report, redacted","Artifact Analysis, Architectural Details, Report",,,Yes,
10/14/2016 13:28,PhD,40,Academic/Research Institution,Yes,Yes,Reasonable,Yes,Yes,The Federal government,"With adequate access controls, any data might be shared on line.","Burial Data, Artifact Analysis, Architectural Details, Most kinds of data",Depends on the access conditions.,,Yes,Archaeologists need to include digital data curation as part of their academic  and/or CRM investigations and research projects 
10/19/2016 11:28,Master's,23,Private/CRM,,Yes,Too high,,,"Each SHPO, RPA, or similar governing body","Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details, Non-site specific topics",,,No,"Several of your questions are open ended - the answer to many is ""it depends."" I have never used (or heard of) tDAR or Context, but in NV we are required to use NVCRIS, and they charge handsomely for it's use. ""willing to pay?"" is a moot question - I HAVE to pay to use a service that they require me to use. ""obligation to share data?"" it depends on what data you are talking about, how it is being shared, and with whom. ""Who should host the data"" wasn't asked. But 'each state' would be my answer. "
10/19/2016 12:29,Master's,29,Private/CRM,Yes,No,Reasonable,Yes,Yes,    The project propoent (first 5 options listed above),"Site Location, Burial Data","Artifact Analysis, Architectural Details, site investigation history",,,Yes,
10/31/2016 15:55,Master's,35,Government,No,,Too high,No,Yes,Non-profit entitites,,,,,,
11/9/2016 14:35,Bachelor's,3,Private/CRM,Yes,No,Reasonable,Yes,Yes,The Federal government,"Site Location, Burial Data","Artifact Analysis, Architectural Details",,,Yes,
12/5/2016 13:59,Master's,6,Private/CRM,No,No,No opinion,Yes,Yes,private w/ gov grants or subsidies,"Site Location, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",Burial Data,,Yes,"Databases, especially relational databases, are uniquely suited to archaeological data. It would be great if more archaeologists were educated about the opportunities databases can hold beyond the excel/flat file database. Databases should be tools that are partially standardized to accommodate information which would make them useful to archaeologists. The trick to standardization is creating them flexible enough to handle the complex subjects/objects related to human behavior but keep them direct and useful. tDAR and other services are a step in the right direction. 

If databases were standardized and made more familiar to archaeologists, they could help professionals further research, but also facilitate a relationship with the public or non-archaeologists. Databases can help foster appreciation for the contributions archaeological studies can make to many facets of everyday life and our understanding of humanity. "
4/11/2017 15:39,Bachelor's,22,Private/CRM,No,,No opinion,Yes,Yes,project sponsors,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Burial Data, Artifact Analysis, Architectural Details",Site Location,,Yes,
